#,Date,"Time,","Temp, °C (LGR S/N: 20641684, SEN S/N: 20641684, LBL: Vatia 8_13_19)","Intensity, lum/ft² (LGR S/N: 20641684, SEN S/N: 20641684, LBL: Vatia)"
1,8/13/19,5:00:00,29.152,480
2,8/13/19,5:30:00,28.953,200
3,8/13/19,6:00:00,28.853,54
4,8/13/19,6:30:00,28.853,0
5,8/13/19,7:00:00,28.754,0
6,8/13/19,7:30:00,28.754,0
7,8/13/19,8:00:00,28.655,0
8,8/13/19,8:30:00,28.655,0
9,8/13/19,9:00:00,28.655,0
10,8/13/19,9:30:00,28.655,0
11,8/13/19,10:00:00,28.655,0
12,8/13/19,10:30:00,28.655,0
13,8/13/19,11:00:00,28.655,0
14,8/13/19,11:30:00,28.555,0
15,8/14/19,12:00:00,28.555,0
16,8/14/19,12:30:00,28.555,0
17,8/14/19,1:00:00,28.555,0
18,8/14/19,1:30:00,28.456,0
19,8/14/19,2:00:00,28.456,0
20,8/14/19,2:30:00,28.456,0
21,8/14/19,3:00:00,28.456,0
22,8/14/19,3:30:00,28.357,0
23,8/14/19,4:00:00,28.357,0
24,8/14/19,4:30:00,28.357,0
25,8/14/19,5:00:00,28.456,0
26,8/14/19,5:30:00,28.456,0
27,8/14/19,6:00:00,28.456,0
28,8/14/19,6:30:00,28.456,3
29,8/14/19,7:00:00,28.456,95
30,8/14/19,7:30:00,28.655,512
31,8/14/19,8:00:00,28.953,1344
32,8/14/19,8:30:00,29.252,1600
33,8/14/19,9:00:00,29.452,2816
34,8/14/19,9:30:00,29.053,1216
35,8/14/19,10:00:00,29.452,5120
36,8/14/19,10:30:00,29.752,2816
37,8/14/19,11:00:00,30.154,4096
38,8/14/19,11:30:00,30.457,2048
39,8/14/19,12:00:00,30.558,3584
40,8/14/19,12:30:00,30.659,4352
41,8/14/19,1:00:00,30.457,3968
42,8/14/19,1:30:00,30.356,1216
43,8/14/19,2:00:00,30.255,1472
44,8/14/19,2:30:00,29.552,512
45,8/14/19,3:00:00,29.953,576
46,8/14/19,3:30:00,29.953,576
47,8/14/19,4:00:00,29.752,416
48,8/14/19,4:30:00,29.352,384
49,8/14/19,5:00:00,29.053,184
50,8/14/19,5:30:00,28.953,89
51,8/14/19,6:00:00,28.853,45
52,8/14/19,6:30:00,28.754,0
53,8/14/19,7:00:00,28.754,0
54,8/14/19,7:30:00,28.754,0
55,8/14/19,8:00:00,28.655,0
56,8/14/19,8:30:00,28.655,0
57,8/14/19,9:00:00,28.655,0
58,8/14/19,9:30:00,28.754,0
59,8/14/19,10:00:00,28.754,0
60,8/14/19,10:30:00,28.754,0
61,8/14/19,11:00:00,28.754,0
62,8/14/19,11:30:00,28.655,0
63,8/15/19,12:00:00,28.555,0
64,8/15/19,12:30:00,28.456,0
65,8/15/19,1:00:00,28.555,0
66,8/15/19,1:30:00,28.456,0
67,8/15/19,2:00:00,28.555,0
68,8/15/19,2:30:00,28.555,0
69,8/15/19,3:00:00,28.555,0
70,8/15/19,3:30:00,28.555,0
71,8/15/19,4:00:00,28.456,0
72,8/15/19,4:30:00,28.456,0
73,8/15/19,5:00:00,28.456,0
74,8/15/19,5:30:00,28.456,0
75,8/15/19,6:00:00,28.456,0
76,8/15/19,6:30:00,28.456,0
77,8/15/19,7:00:00,28.456,40
78,8/15/19,7:30:00,28.555,184
79,8/15/19,8:00:00,28.655,216
80,8/15/19,8:30:00,28.754,608
81,8/15/19,9:00:00,29.452,2304
82,8/15/19,9:30:00,29.652,3712
83,8/15/19,10:00:00,28.953,512
84,8/15/19,10:30:00,29.252,4352
85,8/15/19,11:00:00,29.652,2816
86,8/15/19,11:30:00,30.356,9216
87,8/15/19,12:00:00,30.154,2304
88,8/15/19,12:30:00,30.054,1152
89,8/15/19,1:00:00,29.953,768
90,8/15/19,1:30:00,29.953,864
91,8/15/19,2:00:00,29.953,1408
92,8/15/19,2:30:00,29.652,896
93,8/15/19,3:00:00,29.752,608
94,8/15/19,3:30:00,29.352,512
95,8/15/19,4:00:00,29.352,608
96,8/15/19,4:30:00,29.053,256
97,8/15/19,5:00:00,29.053,272
98,8/15/19,5:30:00,28.953,107
99,8/15/19,6:00:00,28.754,28
100,8/15/19,6:30:00,28.655,0
101,8/15/19,7:00:00,28.655,0
102,8/15/19,7:30:00,28.655,0
103,8/15/19,8:00:00,28.655,0
104,8/15/19,8:30:00,28.555,0
105,8/15/19,9:00:00,28.555,0
106,8/15/19,9:30:00,28.555,0
107,8/15/19,10:00:00,28.555,0
108,8/15/19,10:30:00,28.555,0
109,8/15/19,11:00:00,28.555,0
110,8/15/19,11:30:00,28.456,0
111,8/16/19,12:00:00,28.456,0
112,8/16/19,12:30:00,28.456,0
113,8/16/19,1:00:00,28.456,0
114,8/16/19,1:30:00,28.357,0
115,8/16/19,2:00:00,28.357,0
116,8/16/19,2:30:00,28.357,0
117,8/16/19,3:00:00,28.258,0
118,8/16/19,3:30:00,28.159,0
119,8/16/19,4:00:00,28.159,0
120,8/16/19,4:30:00,28.159,0
121,8/16/19,5:00:00,28.258,0
122,8/16/19,5:30:00,28.258,0
123,8/16/19,6:00:00,28.357,0
124,8/16/19,6:30:00,28.357,0
125,8/16/19,7:00:00,28.357,5
126,8/16/19,7:30:00,28.357,2
127,8/16/19,8:00:00,28.258,7
128,8/16/19,8:30:00,28.258,16
129,8/16/19,9:00:00,28.258,19
130,8/16/19,9:30:00,28.258,16
131,8/16/19,10:00:00,28.258,42
132,8/16/19,10:30:00,28.159,35
133,8/16/19,11:00:00,28.159,77
134,8/16/19,11:30:00,28.159,168
135,8/16/19,12:00:00,28.159,144
136,8/16/19,12:30:00,28.159,152
137,8/16/19,1:00:00,28.258,384
138,8/16/19,1:30:00,28.357,480
139,8/16/19,2:00:00,28.357,512
140,8/16/19,2:30:00,28.357,368
141,8/16/19,3:00:00,28.357,352
142,8/16/19,3:30:00,28.456,368
143,8/16/19,4:00:00,28.456,400
144,8/16/19,4:30:00,28.456,184
145,8/16/19,5:00:00,28.357,90
146,8/16/19,5:30:00,28.357,74
147,8/16/19,6:00:00,28.357,15
148,8/16/19,6:30:00,28.357,0
149,8/16/19,7:00:00,28.357,0
150,8/16/19,7:30:00,28.357,0
151,8/16/19,8:00:00,28.357,0
152,8/16/19,8:30:00,28.357,0
153,8/16/19,9:00:00,28.258,0
154,8/16/19,9:30:00,28.357,0
155,8/16/19,10:00:00,28.258,0
156,8/16/19,10:30:00,28.258,0
157,8/16/19,11:00:00,28.357,0
158,8/16/19,11:30:00,28.357,0
159,8/17/19,12:00:00,28.357,0
160,8/17/19,12:30:00,28.258,0
161,8/17/19,1:00:00,28.258,0
162,8/17/19,1:30:00,28.258,0
163,8/17/19,2:00:00,28.357,0
164,8/17/19,2:30:00,28.357,0
165,8/17/19,3:00:00,28.258,0
166,8/17/19,3:30:00,28.258,0
167,8/17/19,4:00:00,28.258,0
168,8/17/19,4:30:00,28.258,0
169,8/17/19,5:00:00,28.258,0
170,8/17/19,5:30:00,28.258,0
171,8/17/19,6:00:00,28.258,0
172,8/17/19,6:30:00,28.258,3
173,8/17/19,7:00:00,28.357,72
174,8/17/19,7:30:00,28.456,464
175,8/17/19,8:00:00,28.555,576
176,8/17/19,8:30:00,28.754,1664
177,8/17/19,9:00:00,29.252,5120
178,8/17/19,9:30:00,28.953,1600
179,8/17/19,10:00:00,29.752,4352
180,8/17/19,10:30:00,29.853,11264
181,8/17/19,11:00:00,29.853,3200
182,8/17/19,11:30:00,29.752,1344
183,8/17/19,12:00:00,29.552,1536
184,8/17/19,12:30:00,29.752,960
185,8/17/19,1:00:00,29.452,800
186,8/17/19,1:30:00,29.752,1152
187,8/17/19,2:00:00,29.853,1280
188,8/17/19,2:30:00,29.652,608
189,8/17/19,3:00:00,30.054,992
190,8/17/19,3:30:00,29.752,480
191,8/17/19,4:00:00,29.452,184
192,8/17/19,4:30:00,29.252,113
193,8/17/19,5:00:00,29.152,114
194,8/17/19,5:30:00,28.953,63
195,8/17/19,6:00:00,28.953,72
196,8/17/19,6:30:00,28.853,0
197,8/17/19,7:00:00,28.853,0
198,8/17/19,7:30:00,28.754,0
199,8/17/19,8:00:00,28.655,0
200,8/17/19,8:30:00,28.655,0
201,8/17/19,9:00:00,28.655,0
202,8/17/19,9:30:00,28.655,0
203,8/17/19,10:00:00,28.655,0
204,8/17/19,10:30:00,28.555,0
205,8/17/19,11:00:00,28.555,0
206,8/17/19,11:30:00,28.555,0
207,8/18/19,12:00:00,28.655,0
208,8/18/19,12:30:00,28.555,0
209,8/18/19,1:00:00,28.555,0
210,8/18/19,1:30:00,28.555,0
211,8/18/19,2:00:00,28.655,0
212,8/18/19,2:30:00,28.555,0
213,8/18/19,3:00:00,28.456,0
214,8/18/19,3:30:00,28.456,0
215,8/18/19,4:00:00,28.357,0
216,8/18/19,4:30:00,28.456,0
217,8/18/19,5:00:00,28.456,0
218,8/18/19,5:30:00,28.357,0
219,8/18/19,6:00:00,28.357,0
220,8/18/19,6:30:00,28.357,1
221,8/18/19,7:00:00,28.357,61
222,8/18/19,7:30:00,28.456,107
223,8/18/19,8:00:00,28.655,432
224,8/18/19,8:30:00,29.152,1088
225,8/18/19,9:00:00,29.452,1600
226,8/18/19,9:30:00,29.652,3200
227,8/18/19,10:00:00,29.752,2560
228,8/18/19,10:30:00,29.953,4352
229,8/18/19,11:00:00,29.352,400
230,8/18/19,11:30:00,29.953,2304
231,8/18/19,12:00:00,29.552,800
232,8/18/19,12:30:00,29.452,864
233,8/18/19,1:00:00,29.452,576
234,8/18/19,1:30:00,29.752,576
235,8/18/19,2:00:00,29.752,480
236,8/18/19,2:30:00,29.752,512
237,8/18/19,3:00:00,29.752,512
238,8/18/19,3:30:00,29.752,336
239,8/18/19,4:00:00,29.652,216
240,8/18/19,4:30:00,29.652,216
241,8/18/19,5:00:00,29.552,144
242,8/18/19,5:30:00,29.352,96
243,8/18/19,6:00:00,29.152,35
244,8/18/19,6:30:00,29.053,0
245,8/18/19,7:00:00,29.053,0
246,8/18/19,7:30:00,28.953,0
247,8/18/19,8:00:00,28.853,0
248,8/18/19,8:30:00,28.754,0
249,8/18/19,9:00:00,28.754,0
250,8/18/19,9:30:00,28.754,0
251,8/18/19,10:00:00,28.754,0
252,8/18/19,10:30:00,28.655,0
253,8/18/19,11:00:00,28.655,0
254,8/18/19,11:30:00,28.655,0
255,8/19/19,12:00:00,28.655,0
256,8/19/19,12:30:00,28.655,0
257,8/19/19,1:00:00,28.754,0
258,8/19/19,1:30:00,28.655,0
259,8/19/19,2:00:00,28.655,0
260,8/19/19,2:30:00,28.655,0
261,8/19/19,3:00:00,28.655,0
262,8/19/19,3:30:00,28.655,0
263,8/19/19,4:00:00,28.655,0
264,8/19/19,4:30:00,28.655,0
265,8/19/19,5:00:00,28.555,0
266,8/19/19,5:30:00,28.555,0
267,8/19/19,6:00:00,28.555,0
268,8/19/19,6:30:00,28.655,5
269,8/19/19,7:00:00,28.655,192
270,8/19/19,7:30:00,28.754,512
271,8/19/19,8:00:00,28.853,2048
272,8/19/19,8:30:00,29.053,960
273,8/19/19,9:00:00,29.452,2048
274,8/19/19,9:30:00,29.652,4096
275,8/19/19,10:00:00,29.853,3712
276,8/19/19,10:30:00,30.054,7936
277,8/19/19,11:00:00,30.054,1920
278,8/19/19,11:30:00,30.054,1152
279,8/19/19,12:00:00,30.054,704
280,8/19/19,12:30:00,29.853,1792
281,8/19/19,1:00:00,29.853,1024
282,8/19/19,1:30:00,29.953,576
283,8/19/19,2:00:00,30.054,704
284,8/19/19,2:30:00,29.953,992
285,8/19/19,3:00:00,30.054,608
286,8/19/19,3:30:00,30.054,416
287,8/19/19,4:00:00,30.054,480
288,8/19/19,4:30:00,30.054,432
289,8/19/19,5:00:00,29.652,176
290,8/19/19,5:30:00,29.452,97
291,8/19/19,6:00:00,29.352,34
292,8/19/19,6:30:00,29.152,0
293,8/19/19,7:00:00,29.053,0
294,8/19/19,7:30:00,29.053,0
295,8/19/19,8:00:00,28.953,0
296,8/19/19,8:30:00,28.853,0
297,8/19/19,9:00:00,28.754,0
298,8/19/19,9:30:00,28.754,0
299,8/19/19,10:00:00,28.754,0
300,8/19/19,10:30:00,28.754,0
301,8/19/19,11:00:00,28.754,0
302,8/19/19,11:30:00,28.754,0
303,8/20/19,12:00:00,28.754,0
304,8/20/19,12:30:00,28.754,0
305,8/20/19,1:00:00,28.754,0
306,8/20/19,1:30:00,28.853,0
307,8/20/19,2:00:00,28.754,0
308,8/20/19,2:30:00,28.754,0
309,8/20/19,3:00:00,28.754,0
310,8/20/19,3:30:00,28.754,0
311,8/20/19,4:00:00,28.754,0
312,8/20/19,4:30:00,28.754,0
313,8/20/19,5:00:00,28.655,0
314,8/20/19,5:30:00,28.655,0
315,8/20/19,6:00:00,28.555,0
316,8/20/19,6:30:00,28.555,7
317,8/20/19,7:00:00,28.655,192
318,8/20/19,7:30:00,28.754,320
319,8/20/19,8:00:00,29.053,1280
320,8/20/19,8:30:00,29.252,704
321,8/20/19,9:00:00,29.452,2944
322,8/20/19,9:30:00,29.552,2304
323,8/20/19,10:00:00,29.652,3200
324,8/20/19,10:30:00,29.853,3072
325,8/20/19,11:00:00,29.853,672
326,8/20/19,11:30:00,29.853,1792
327,8/20/19,12:00:00,29.752,896
328,8/20/19,12:30:00,29.752,400
329,8/20/19,1:00:00,29.853,1216
330,8/20/19,1:30:00,29.953,576
331,8/20/19,2:00:00,29.953,464
332,8/20/19,2:30:00,29.953,384
333,8/20/19,3:00:00,29.953,288
334,8/20/19,3:30:00,30.054,272
335,8/20/19,4:00:00,30.154,288
336,8/20/19,4:30:00,30.255,224
337,8/20/19,5:00:00,30.154,128
338,8/20/19,5:30:00,29.953,104
339,8/20/19,6:00:00,29.853,41
340,8/20/19,6:30:00,29.752,0
341,8/20/19,7:00:00,29.652,0
342,8/20/19,7:30:00,29.552,0
343,8/20/19,8:00:00,29.452,0
344,8/20/19,8:30:00,29.352,0
345,8/20/19,9:00:00,29.152,0
346,8/20/19,9:30:00,29.352,0
347,8/20/19,10:00:00,29.252,0
348,8/20/19,10:30:00,29.252,0
349,8/20/19,11:00:00,29.053,0
350,8/20/19,11:30:00,29.152,0
351,8/21/19,12:00:00,28.953,0
352,8/21/19,12:30:00,29.053,0
353,8/21/19,1:00:00,29.152,0
354,8/21/19,1:30:00,29.152,0
355,8/21/19,2:00:00,29.053,0
356,8/21/19,2:30:00,29.053,0
357,8/21/19,3:00:00,29.053,0
358,8/21/19,3:30:00,29.053,0
359,8/21/19,4:00:00,28.953,0
360,8/21/19,4:30:00,28.953,0
361,8/21/19,5:00:00,28.953,0
362,8/21/19,5:30:00,28.953,0
363,8/21/19,6:00:00,28.953,0
364,8/21/19,6:30:00,28.953,7
365,8/21/19,7:00:00,28.953,84
366,8/21/19,7:30:00,28.953,320
367,8/21/19,8:00:00,29.252,1600
368,8/21/19,8:30:00,29.452,1280
369,8/21/19,9:00:00,29.652,3584
370,8/21/19,9:30:00,29.953,3328
371,8/21/19,10:00:00,30.154,2816
372,8/21/19,10:30:00,30.255,3712
373,8/21/19,11:00:00,30.356,3072
374,8/21/19,11:30:00,30.356,1280
375,8/21/19,12:00:00,30.255,1280
376,8/21/19,12:30:00,30.255,1152
377,8/21/19,1:00:00,30.255,768
378,8/21/19,1:30:00,30.154,672
379,8/21/19,2:00:00,30.255,960
380,8/21/19,2:30:00,30.255,432
381,8/21/19,3:00:00,30.255,368
382,8/21/19,3:30:00,30.154,432
383,8/21/19,4:00:00,30.154,248
384,8/21/19,4:30:00,30.154,272
385,8/21/19,5:00:00,30.154,176
386,8/21/19,5:30:00,30.154,208
387,8/21/19,6:00:00,29.953,65
388,8/21/19,6:30:00,29.853,0
389,8/21/19,7:00:00,29.752,0
390,8/21/19,7:30:00,29.552,0
391,8/21/19,8:00:00,29.552,0
392,8/21/19,8:30:00,29.352,0
393,8/21/19,9:00:00,29.452,0
394,8/21/19,9:30:00,29.252,0
395,8/21/19,10:00:00,29.152,0
396,8/21/19,10:30:00,29.152,0
397,8/21/19,11:00:00,29.053,0
398,8/21/19,11:30:00,29.053,0
399,8/22/19,12:00:00,28.953,0
400,8/22/19,12:30:00,28.953,0
401,8/22/19,1:00:00,28.953,0
402,8/22/19,1:30:00,28.953,0
403,8/22/19,2:00:00,28.953,0
404,8/22/19,2:30:00,28.853,0
405,8/22/19,3:00:00,28.853,0
406,8/22/19,3:30:00,28.953,0
407,8/22/19,4:00:00,28.953,0
408,8/22/19,4:30:00,28.953,0
409,8/22/19,5:00:00,28.953,0
410,8/22/19,5:30:00,28.853,0
411,8/22/19,6:00:00,28.853,0
412,8/22/19,6:30:00,28.853,4
413,8/22/19,7:00:00,28.853,224
414,8/22/19,7:30:00,29.053,672
415,8/22/19,8:00:00,29.252,1408
416,8/22/19,8:30:00,29.352,608
417,8/22/19,9:00:00,29.552,576
418,8/22/19,9:30:00,30.862,0
419,8/22/19,10:00:00,31.37,152
420,8/22/19,10:30:00,34.479,576
421,8/22/19,11:00:00,28.159,3
422,8/22/19,11:30:00,28.357,5
423,8/22/19,12:00:00,28.357,7
424,8/22/19,12:30:00,29.452,26