Tank,Colony,Time point,Ramp,Coral Watch Color1,Coral Watch Color2,Coral Watch Color3,PAM (Fv/Fm),RNAlater?,,Avg Red
,,,,time: 12:15,time: 18:15,time:,time: 20:35,time:,,
FieldCont,1,NA,Field,5,NA,NA,0.643,yes,no pics,
FieldCont,2,NA,Field,4,NA,NA,0.621,yes,no pics,
FieldCont,3,NA,Field,6,NA,NA,0.651,yes,no pics,
FieldCont,4,NA,Field,5.5,NA,NA,0.698,yes,no pics,
FieldCont,5,NA,Field,6,NA,NA,0.669,yes,no pics,
FieldCont,6,NA,Field,5,NA,NA,0.631,yes,no pics,
FieldCont,7,NA,Field,4.5,NA,NA,0.696,yes,no pics,
FieldCont,8,NA,Field,5.5,NA,NA,0.681,yes,no pics,
A,1,Stress,28,6,6,NA,0.65,,,135.8
A,2,Stress,28,5,5,NA,0.598,,,164.6
A,3,Stress,28,6,5.5,NA,0.62,,,137.7
A,4,Stress,28,5,5,NA,0.658,,,153.6
A,5,Stress,28,6,5.5,NA,0.61,,,157.7
A,6,Stress,28,5.5,5.5,NA,0.665,,,137.5
A,7,Stress,28,5.5,6,NA,0.586,,,144.5
A,8,Stress,28,6,6,NA,0.64,,,89.4
A,1,Recovery,28,6,6,5.5,0.61,,,134.8
A,2,Recovery,28,5.5,5,5.5,0.624,,,134.2
A,3,Recovery,28,6,6,5,0.587,,,146.7
A,4,Recovery,28,5.5,5.5,5,0.606,,,151.8
A,5,Recovery,28,5.5,5.5,5.5,0.62,,,136.1
A,6,Recovery,28,6,6,5,0.619,,,153
A,7,Recovery,28,6,5.5,5.5,0.633,,,152.1
A,8,Recovery,28,5.5,5.5,4.5,0.624,,,146.8
B,1,Stress,33,6,5.5,NA,0.52,,,153.1
B,2,Stress,33,5.5,5,NA,0.629,,,156.7
B,3,Stress,33,6,6,NA,0.673,,,120.7
B,4,Stress,33,5.5,5,NA,0.659,,,153.7
B,5,Stress,33,5.5,5.5,NA,0.596,,,150
B,6,Stress,33,6,5.5,NA,0.663,,,146
B,7,Stress,33,5.5,5,NA,0.646,,,154.2
B,8,Stress,33,6,5.5,NA,0.651,,,127.8
B,1,Recovery,33,6,6,5.5,0.649,,,142.3
B,2,Recovery,33,5.5,5,3.5,0.633,,,177.4
B,3,Recovery,33,6,5.5,2,0.631,,,227.9
B,4,Recovery,33,6,6,2,0.662,,,227.2
B,5,Recovery,33,6,6,4.5,0.613,,,149.5
B,6,Recovery,33,5.5,5.5,2.5,0.605,,,185.2
B,7,Recovery,33,6,5.5,1.5,0.666,,,213.8
B,8,Recovery,33,6,5,2,0.651,,,216.5
C,1,Stress,34,6,6,NA,0.611,,,113.5
C,2,Stress,34,6,5,NA,0.636,,,125.1
C,3,Stress,34,6,5.5,NA,0.603,,,122.4
C,4,Stress,34,5.5,5,NA,0.642,,,160.2
C,5,Stress,34,6,5,NA,0.608,,,127.6
C,6,Stress,34,6,5.5,NA,0.648,,,139.9
C,7,Stress,34,5,5,NA,0.619,,,169.6
C,8,Stress,34,6,5.5,NA,0.57,,,143.5
C,1,Recovery,34,5.5,5,3.5,0.605,,,196.5
C,2,Recovery,34,3.5,3,2.5,0.524,,,208.7
C,3,Recovery,34,6,5,3.5,0.622,,,166.4
C,4,Recovery,34,5,4,2,0.615,,,205
C,5,Recovery,34,6,6,3.5,0.613,,,180.6
C,6,Recovery,34,6,5.5,3,0.624,,,190.7
C,7,Recovery,34,6,6,3.5,0.669,,,207.7
C,8,Recovery,34,6,6,3,0.621,,,190.9
D,1,Stress,35,5.5,5,NA,0.644,,,153
D,2,Stress,35,5.5,4.5,NA,0.647,,,155.2
D,3,Stress,35,6,5.5,NA,0.62,,,116.9
D,4,Stress,35,6,5,NA,0.65,,,136
D,5,Stress,35,6,6,NA,0.64,,,133.8
D,6,Stress,35,5.5,5,NA,0.597,,,173.9
D,7,Stress,35,6,5,NA,0.582,,,147.1
D,8,Stress,35,6,5.5,NA,0.61,,,115.7
D,1,Recovery,35,5.5,5,2,0.63,,,219.2
D,2,Recovery,35,5.5,4,2.5,0.586,,,193.9
D,3,Recovery,35,6,6,2,0.621,,,186.6
D,4,Recovery,35,6,4,2,0.625,,,207.9
D,5,Recovery,35,6,6,2,0.601,,,203.4
D,6,Recovery,35,6,5.5,2.5,0.637,,,189.6
D,7,Recovery,35,6,5.5,1,0,,,221.4
D,8,Recovery,35,6,5.5,2,0.647,,,201.3
E,1,Stress,28,6,6,NA,NA,,,123.5
E,2,Stress,28,5,4,NA,NA,,,181.6
E,3,Stress,28,6,5.5,NA,NA,,,116.9
E,4,Stress,28,6,5.5,NA,NA,,,156.5
E,5,Stress,28,6,6,NA,NA,,,134.7
E,6,Stress,28,6,6,NA,NA,,,132.4
E,7,Stress,28,6,5.5,NA,NA,,,169.7
E,8,Stress,28,6,6,NA,NA,,,140.7
E,1,Recovery,28,5.5,5.5,5,0.623,,,158.1
E,2,Recovery,28,5,4.5,4.5,0.599,,,164.9
E,3,Recovery,28,6,6,5.5,0.679,,,154.9
E,4,Recovery,28,6,6,4,0.661,,,185.3
E,5,Recovery,28,6,5.5,5,0.636,,,148
E,6,Recovery,28,6,5.5,5,0.653,,,159
E,7,Recovery,28,6,6,5,0.67,,,171.6
E,8,Recovery,28,6,6,4.5,0.636,,,175.8
F,1,Stress,33,6,5.5,NA,NA,,,135.9
F,2,Stress,33,6,5,NA,NA,,,160
F,3,Stress,33,6,5.5,NA,NA,,,141.6
F,4,Stress,33,6,5.5,NA,NA,,,157.7
F,5,Stress,33,6,6,NA,NA,,,118
F,6,Stress,33,6,5.5,NA,NA,,,138.8
F,7,Stress,33,5.5,5,NA,NA,,,161.9
F,8,Stress,33,6,5.5,NA,NA,,,119.4
F,1,Recovery,33,6,6,5,0.658,,,135
F,2,Recovery,33,5.5,4,3.5,0.605,,,162.3
F,3,Recovery,33,6,5,1,0.63,,,231.5
F,4,Recovery,33,5,4.5,1.5,0.638,,,218.3
F,5,Recovery,33,6,5.5,4.5,0.638,,,138.6
F,6,Recovery,33,6,5.5,5,0.629,,,164.8
F,7,Recovery,33,6,5.5,3,0.674,,,179
F,8,Recovery,33,6,6,3,0.633,,,190.9
G,1,Stress,34,6,5,NA,NA,,,150.4
G,2,Stress,34,5.5,4,NA,NA,,,187.1
G,3,Stress,34,5.5,5,NA,NA,,,139.5
G,4,Stress,34,5.5,3.5,NA,NA,,,171
G,5,Stress,34,6,6,NA,NA,,,131.2
G,6,Stress,34,6,5.5,NA,NA,,,154.2
G,7,Stress,34,6,5,NA,NA,,,156
G,8,Stress,34,6,6,NA,NA,,,117.7
G,1,Recovery,34,5.5,5.5,2.5,0.593,,,188.8
G,2,Recovery,34,5.5,4,1,0,,,208
G,3,Recovery,34,6,5.5,1,0.636,,,220.4
G,4,Recovery,34,6,4,1,0,,,218.4
G,5,Recovery,34,6,5,1.5,0.656,,,190.5
G,6,Recovery,34,5.5,5.5,1.5,0.639,,,202.9
G,7,Recovery,34,6,5,1.5,0,,,235.6
G,8,Recovery,34,6,5,2,0.642,,,212.5
H,1,Stress,35,6,5.5,NA,NA,,,150.8
H,2,Stress,35,6,4,NA,NA,,,176.3
H,3,Stress,35,6,5.5,NA,NA,,,163.2
H,4,Stress,35,6,5,NA,NA,,,157.5
H,5,Stress,35,6,5.5,NA,NA,,,142.3
H,6,Stress,35,6,6,NA,NA,,,144.5
H,7,Stress,35,5.5,5,NA,NA,,,181
H,8,Stress,35,6,4,NA,NA,,,179.3
H,1,Recovery,35,6,5,2,0.675,,,205.9
H,2,Recovery,35,5,4,2,0.66,,,195.5
H,3,Recovery,35,6,5,2,0.556,,,199.6
H,4,Recovery,35,6,4.5,1.5,0.602,,,209.8
H,5,Recovery,35,5.5,5.5,1.5,0.665,,,197.4
H,6,Recovery,35,6,5,2,0.672,,,199.9
H,7,Recovery,35,6,5.5,2,0.589,,,204.3
H,8,Recovery,35,6,6,4.5,0.639,,,144.6