"Colony","Time.point","Site","LBSP","pop2016","DIN","Rep","28","33","34","35","Field","t35_normalizedto28","t34_normalizedto28","t33_normalizedto28"
1,"Recovery","Cannery","High",9276,5.4,"1",0.626,0.645,0.677,0.64,NA,0.014,0.051,0.019
1,"Recovery","Cannery","High",9276,5.4,"2",0.615,0.66,0.657,0.664,NA,0.049,0.042,0.045
1,"Recovery","Coconut Point","High",6707,48.8,"1",0.668,0.612,0.668,0.655,NA,-0.013,0,-0.056
1,"Recovery","Coconut Point","High",6707,48.8,"2",0.62,0.659,0.662,0.648,NA,0.028,0.042,0.039
1,"Recovery","Faga'alu","Medium",910,6.7,"1",0.61,0.649,0.605,0.63,NA,0.02,-0.005,0.039
1,"Recovery","Faga'alu","Medium",910,6.7,"2",0.623,0.658,0.593,0.675,NA,0.052,-0.03,0.035
1,"Recovery","Faga'tele","Low",0,0.3,"1",0.624,0.614,0.587,0.547,NA,-0.077,-0.037,-0.01
1,"Recovery","Faga'tele","Low",0,0.3,"2",0.656,0.604,0.583,0.619,NA,-0.037,-0.0730000000000001,-0.052
1,"Recovery","Vatia","Low",640,4.1,"1",0.615,0.609,0.612,0.645,NA,0.03,-0.003,-0.00600000000000001
1,"Recovery","Vatia","Low",640,4.1,"2",0.616,0.642,0.623,0.615,NA,-0.001,0.00700000000000001,0.026
1,"Stress","Cannery","High",9276,5.4,"1",0.627,0.627,0.638,0.662,NA,0.035,0.011,0
1,"Stress","Coconut Point","High",6707,48.8,"1",0.667,0.648,0.638,0.653,NA,-0.014,-0.029,-0.019
1,"Stress","Faga'alu","Medium",910,6.7,"1",0.65,0.52,0.611,0.644,NA,-0.00600000000000001,-0.039,-0.13
1,"Stress","Faga'tele","Low",0,0.3,"1",0.605,0.622,0.605,0.609,NA,0.004,0,0.017
1,"Stress","Vatia","Low",640,4.1,"1",0.61,0.62,0.66,0.643,NA,0.033,0.05,0.01
2,"Recovery","Cannery","High",9276,5.4,"1",0.671,0.633,0.611,0.666,NA,-0.005,-0.0600000000000001,-0.038
2,"Recovery","Cannery","High",9276,5.4,"2",0.624,0.599,0.644,0.664,NA,0.04,0.02,-0.025
2,"Recovery","Coconut Point","High",6707,48.8,"2",0.627,0.662,0.655,0.617,NA,-0.01,0.028,0.035
2,"Recovery","Faga'alu","Medium",910,6.7,"1",0.624,0.633,0.524,0.586,NA,-0.038,-0.1,0.00900000000000001
2,"Recovery","Faga'alu","Medium",910,6.7,"2",0.599,0.605,0,0.66,NA,0.0610000000000001,-0.599,0.00600000000000001
2,"Recovery","Faga'tele","Low",0,0.3,"1",0.652,0.645,0.629,0.625,NA,-0.027,-0.023,-0.00700000000000001
2,"Recovery","Faga'tele","Low",0,0.3,"2",0.651,0.627,0.633,0.577,NA,-0.0740000000000001,-0.018,-0.024
2,"Recovery","Vatia","Low",640,4.1,"1",0.638,0.64,0.615,0.649,NA,0.011,-0.023,0.002
2,"Recovery","Vatia","Low",640,4.1,"2",0.662,0.621,0.626,0.661,NA,-0.001,-0.036,-0.041
2,"Stress","Cannery","High",9276,5.4,"1",0.672,0.672,0.658,0.628,NA,-0.044,-0.014,0
2,"Stress","Coconut Point","High",6707,48.8,"1",0.647,0.658,0.661,0.655,NA,0.00800000000000001,0.014,0.011
2,"Stress","Faga'alu","Medium",910,6.7,"1",0.598,0.629,0.636,0.647,NA,0.049,0.038,0.031
2,"Stress","Faga'tele","Low",0,0.3,"1",0.612,0.637,0.594,0.591,NA,-0.021,-0.018,0.025
2,"Stress","Vatia","Low",640,4.1,"1",0.645,0.617,0.641,0.63,NA,-0.015,-0.004,-0.028
3,"Recovery","Cannery","High",9276,5.4,"1",0.636,0.633,0.671,0.656,NA,0.02,0.035,-0.003
3,"Recovery","Cannery","High",9276,5.4,"2",0.681,0.654,0.628,0.643,NA,-0.038,-0.053,-0.027
3,"Recovery","Coconut Point","High",6707,48.8,"1",0.647,0.64,0.628,0.619,NA,-0.028,-0.019,-0.00700000000000001
3,"Recovery","Coconut Point","High",6707,48.8,"2",0.66,0.667,0.662,0.647,NA,-0.013,0.002,0.00700000000000001
3,"Recovery","Faga'alu","Medium",910,6.7,"1",0.587,0.631,0.622,0.621,NA,0.034,0.035,0.044
3,"Recovery","Faga'alu","Medium",910,6.7,"2",0.679,0.63,0.636,0.556,NA,-0.123,-0.043,-0.049
3,"Recovery","Faga'tele","Low",0,0.3,"1",0.604,0.618,0.611,0.575,NA,-0.029,0.00700000000000001,0.014
3,"Recovery","Faga'tele","Low",0,0.3,"2",0.62,0.657,0.57,0.611,NA,-0.00900000000000001,-0.05,0.037
3,"Recovery","Vatia","Low",640,4.1,"1",0.647,0.654,0.635,0.632,NA,-0.015,-0.012,0.00700000000000001
3,"Recovery","Vatia","Low",640,4.1,"2",0.624,0.625,0.631,0.641,NA,0.017,0.00700000000000001,0.001
3,"Stress","Cannery","High",9276,5.4,"1",0.653,0.658,0.659,0.67,NA,0.017,0.00600000000000001,0.005
3,"Stress","Coconut Point","High",6707,48.8,"1",0.677,0.629,0.638,0.632,NA,-0.045,-0.039,-0.048
3,"Stress","Faga'alu","Medium",910,6.7,"1",0.62,0.673,0.603,0.62,NA,0,-0.017,0.053
3,"Stress","Faga'tele","Low",0,0.3,"1",0.628,0.61,0.58,0.598,NA,-0.03,-0.048,-0.018
3,"Stress","Vatia","Low",640,4.1,"1",0.61,0.634,0.626,0.657,NA,0.047,0.016,0.024
4,"Recovery","Cannery","High",9276,5.4,"1",0.677,0.586,0.659,0.653,NA,-0.024,-0.018,-0.0910000000000001
4,"Recovery","Cannery","High",9276,5.4,"2",0.666,0.647,0.625,0.614,NA,-0.052,-0.041,-0.019
4,"Recovery","Coconut Point","High",6707,48.8,"1",0.646,0.645,0.671,0.667,NA,0.021,0.025,-0.001
4,"Recovery","Coconut Point","High",6707,48.8,"2",0.663,0.646,0.592,0.618,NA,-0.045,-0.0710000000000001,-0.017
4,"Recovery","Faga'alu","Medium",910,6.7,"1",0.606,0.662,0.615,0.625,NA,0.019,0.00900000000000001,0.056
4,"Recovery","Faga'alu","Medium",910,6.7,"2",0.661,0.638,0,0.602,NA,-0.0590000000000001,-0.661,-0.023
4,"Recovery","Faga'tele","Low",0,0.3,"1",0.603,0.612,0.568,0.614,NA,0.011,-0.035,0.00900000000000001
4,"Recovery","Faga'tele","Low",0,0.3,"2",0.617,0.631,0.642,0.576,NA,-0.041,0.025,0.014
4,"Recovery","Vatia","Low",640,4.1,"1",0.622,0.576,0.634,0.598,NA,-0.024,0.012,-0.046
4,"Recovery","Vatia","Low",640,4.1,"2",0.609,0.641,0.608,0.561,NA,-0.0479999999999999,-0.001,0.032
4,"Stress","Cannery","High",9276,5.4,"1",0.67,0.668,0.661,0.655,NA,-0.015,-0.00900000000000001,-0.002
4,"Stress","Coconut Point","High",6707,48.8,"1",0.653,0.667,0.593,0.627,NA,-0.026,-0.0600000000000001,0.014
4,"Stress","Faga'alu","Medium",910,6.7,"1",0.658,0.659,0.642,0.65,NA,-0.00800000000000001,-0.016,0.001
4,"Stress","Faga'tele","Low",0,0.3,"1",0.636,0.637,0.629,0.554,NA,-0.082,-0.00700000000000001,0.001
4,"Stress","Vatia","Low",640,4.1,"1",0.527,0.605,0.62,0.627,NA,0.1,0.093,0.078
5,"Recovery","Cannery","High",9276,5.4,"1",0.649,0.625,0.663,0.665,NA,0.016,0.014,-0.024
5,"Recovery","Cannery","High",9276,5.4,"2",0.688,0.686,0.661,0.611,NA,-0.077,-0.0269999999999999,-0.00199999999999989
5,"Recovery","Coconut Point","High",6707,48.8,"1",0.629,0.65,0.638,0.638,NA,0.00900000000000001,0.00900000000000001,0.021
5,"Recovery","Coconut Point","High",6707,48.8,"2",0.647,0.682,0.647,0.616,NA,-0.031,0,0.035
5,"Recovery","Faga'alu","Medium",910,6.7,"1",0.62,0.613,0.613,0.601,NA,-0.019,-0.00700000000000001,-0.00700000000000001
5,"Recovery","Faga'alu","Medium",910,6.7,"2",0.636,0.638,0.656,0.665,NA,0.029,0.02,0.002
5,"Recovery","Faga'tele","Low",0,0.3,"1",0.587,0.645,0.623,0.616,NA,0.029,0.036,0.0580000000000001
5,"Recovery","Faga'tele","Low",0,0.3,"2",0.662,0.558,0.578,0.627,NA,-0.035,-0.0840000000000001,-0.104
5,"Recovery","Vatia","Low",640,4.1,"1",0.65,0.655,0.662,0.649,NA,-0.001,0.012,0.005
5,"Recovery","Vatia","Low",640,4.1,"2",0.627,0.639,0.641,0.633,NA,0.00600000000000001,0.014,0.012
5,"Stress","Cannery","High",9276,5.4,"1",0.653,0.667,0.671,0.654,NA,0.001,0.018,0.014
5,"Stress","Coconut Point","High",6707,48.8,"1",0.636,0.647,0.631,0.605,NA,-0.031,-0.005,0.011
5,"Stress","Faga'alu","Medium",910,6.7,"1",0.61,0.596,0.608,0.64,NA,0.03,-0.002,-0.014
5,"Stress","Faga'tele","Low",0,0.3,"1",0.593,0.616,0.609,0.657,NA,0.0640000000000001,0.016,0.023
5,"Stress","Vatia","Low",640,4.1,"1",0.644,0.658,0.611,0.655,NA,0.011,-0.033,0.014
6,"Recovery","Cannery","High",9276,5.4,"1",0.639,0.676,0.641,0.654,NA,0.015,0.002,0.037
6,"Recovery","Cannery","High",9276,5.4,"2",0.668,0.665,0.657,0.631,NA,-0.037,-0.011,-0.003
6,"Recovery","Coconut Point","High",6707,48.8,"1",0.653,0.648,0.659,0.649,NA,-0.004,0.00600000000000001,-0.005
6,"Recovery","Coconut Point","High",6707,48.8,"2",0.678,0.674,0.617,0.638,NA,-0.04,-0.0610000000000001,-0.004
6,"Recovery","Faga'alu","Medium",910,6.7,"1",0.619,0.605,0.624,0.637,NA,0.018,0.005,-0.014
6,"Recovery","Faga'alu","Medium",910,6.7,"2",0.653,0.629,0.639,0.672,NA,0.019,-0.014,-0.024
6,"Recovery","Faga'tele","Low",0,0.3,"1",0.65,0.608,0.646,0.651,NA,0.001,-0.004,-0.042
6,"Recovery","Faga'tele","Low",0,0.3,"2",0.619,0.651,0.614,0.605,NA,-0.014,-0.005,0.032
6,"Recovery","Vatia","Low",640,4.1,"1",0.676,0.61,0.657,0.647,NA,-0.029,-0.019,-0.0660000000000001
6,"Recovery","Vatia","Low",640,4.1,"2",0.642,0.638,0.627,0.588,NA,-0.054,-0.015,-0.004
6,"Stress","Cannery","High",9276,5.4,"1",0.665,0.667,0.626,0.658,NA,-0.00700000000000001,-0.039,0.002
6,"Stress","Coconut Point","High",6707,48.8,"1",0.663,0.632,0.624,0.654,NA,-0.00900000000000001,-0.039,-0.031
6,"Stress","Faga'alu","Medium",910,6.7,"1",0.665,0.663,0.648,0.597,NA,-0.0680000000000001,-0.017,-0.002
6,"Stress","Faga'tele","Low",0,0.3,"1",0.665,0.629,0.621,0.614,NA,-0.051,-0.044,-0.036
6,"Stress","Vatia","Low",640,4.1,"1",0.672,0.664,0.61,0.632,NA,-0.04,-0.0620000000000001,-0.00800000000000001
7,"Recovery","Cannery","High",9276,5.4,"1",0.663,0.653,0.636,0.663,NA,0,-0.027,-0.01
7,"Recovery","Cannery","High",9276,5.4,"2",0.656,0.627,0.629,0.661,NA,0.005,-0.027,-0.029
7,"Recovery","Coconut Point","High",6707,48.8,"1",0.665,0.631,0.631,0.625,NA,-0.04,-0.034,-0.034
7,"Recovery","Coconut Point","High",6707,48.8,"2",0.667,0.644,0.641,0.611,NA,-0.056,-0.026,-0.023
7,"Recovery","Faga'alu","Medium",910,6.7,"1",0.633,0.666,0.669,0,NA,-0.633,0.036,0.033
7,"Recovery","Faga'alu","Medium",910,6.7,"2",0.67,0.674,0,0.589,NA,-0.0810000000000001,-0.67,0.004
7,"Recovery","Faga'tele","Low",0,0.3,"1",0.64,0.57,0.627,0.611,NA,-0.029,-0.013,-0.0700000000000001
7,"Recovery","Faga'tele","Low",0,0.3,"2",0.638,0.627,0.611,0.627,NA,-0.011,-0.027,-0.011
7,"Recovery","Vatia","Low",640,4.1,"1",0.611,0.627,0.594,0.647,NA,0.036,-0.017,0.016
7,"Recovery","Vatia","Low",640,4.1,"2",0.688,0.617,0.608,0.642,NA,-0.0459999999999999,-0.08,-0.071
7,"Stress","Cannery","High",9276,5.4,"1",0.65,0.669,0.644,0.657,NA,0.00700000000000001,-0.00600000000000001,0.019
7,"Stress","Coconut Point","High",6707,48.8,"1",0.658,0.633,0.647,0.632,NA,-0.026,-0.011,-0.025
7,"Stress","Faga'alu","Medium",910,6.7,"1",0.586,0.646,0.619,0.582,NA,-0.004,0.033,0.0600000000000001
7,"Stress","Faga'tele","Low",0,0.3,"1",0.641,0.621,0.632,0.617,NA,-0.024,-0.00900000000000001,-0.02
7,"Stress","Vatia","Low",640,4.1,"1",0.626,0.65,0.6,0.6,NA,-0.026,-0.026,0.024
8,"Recovery","Cannery","High",9276,5.4,"1",0.636,0.63,0.59,0.65,NA,0.014,-0.046,-0.00600000000000001
8,"Recovery","Cannery","High",9276,5.4,"2",0.66,0.65,0.596,0.643,NA,-0.017,-0.0640000000000001,-0.01
8,"Recovery","Coconut Point","High",6707,48.8,"1",0.633,0.557,0.61,0.64,NA,0.00700000000000001,-0.023,-0.076
8,"Recovery","Coconut Point","High",6707,48.8,"2",0.67,0.615,0.597,0.563,NA,-0.107,-0.0730000000000001,-0.055
8,"Recovery","Faga'alu","Medium",910,6.7,"1",0.624,0.651,0.621,0.647,NA,0.023,-0.003,0.027
8,"Recovery","Faga'alu","Medium",910,6.7,"2",0.636,0.633,0.642,0.639,NA,0.003,0.00600000000000001,-0.003
8,"Recovery","Faga'tele","Low",0,0.3,"1",0.659,0.653,0.625,0.617,NA,-0.042,-0.034,-0.00600000000000001
8,"Recovery","Faga'tele","Low",0,0.3,"2",0.643,0.654,0.596,0.6,NA,-0.043,-0.047,0.011
8,"Recovery","Vatia","Low",640,4.1,"1",0.639,0.644,0.669,0.638,NA,-0.001,0.03,0.005
8,"Recovery","Vatia","Low",640,4.1,"2",0.666,0.66,0.63,0.619,NA,-0.047,-0.036,-0.00600000000000001
8,"Stress","Cannery","High",9276,5.4,"1",0.685,0.652,0.628,0.565,NA,-0.12,-0.0570000000000001,-0.033
8,"Stress","Coconut Point","High",6707,48.8,"1",0.606,0.588,0.658,0.647,NA,0.041,0.052,-0.018
8,"Stress","Faga'alu","Medium",910,6.7,"1",0.64,0.651,0.57,0.61,NA,-0.03,-0.0700000000000001,0.011
8,"Stress","Faga'tele","Low",0,0.3,"1",0.669,0.634,0.597,0.619,NA,-0.05,-0.0720000000000001,-0.035
8,"Stress","Vatia","Low",640,4.1,"1",0.631,0.575,0.623,0.665,NA,0.034,-0.00800000000000001,-0.056
